All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
158.0,34.83029416403328,34.74658627192996,,,
159.0,34.74586251355074,34.668695224758636,,,
160.0,34.667966281680194,34.597361325977786,,,
161.0,34.5966276062514,34.53260484692228,,,
162.0,34.53186676146012,34.47444418978655,,,
163.0,34.47370215210623,34.42289588239508,,,
164.0,34.4221503083631,34.377974573505604,,,
165.0,34.377225881079895,34.33969302864632,,,
166.0,34.33894163761775,34.30806212648824,,,
167.0,34.307308458221364,34.28309085575371,,,
168.0,34.28233533292689,34.26478631266208,,,
169.0,34.264029359007,34.253153698913074,,,
170.0,34.25239573895382,34.24819632020868,,,
171.0,34.24743777900047,34.249915585313644,,,
172.0,34.249156888181375,34.25831100565523,,,
173.0,34.25755257793189,34.27338019546203,,,
174.0,34.27262246222706,34.295118872441904,,,
175.0,34.29436225825984,34.32352085899894,,,
176.0,34.32276578765814,34.358578083988974,,,
177.0,34.357824978240764,34.400280585013206,,,
178.0,34.399529866311454,34.44861651124923,,,
179.0,34.447868599490576,34.503572126818824,,,
180.0,34.5028274400835,34.565131814691284,,,
181.0,34.56439076898481,34.633278081121404,,,
182.0,34.63254109011717,34.7079915606208,,,
183.0,34.70725903540371,34.78925102146107,,,
184.0,34.7885233702723,34.87703337170737,,,
185.0,34.87631099969039,34.971313665780514,,,
186.0,34.97059697472848,35.07206511154594,,,
187.0,35.071354499650575,35.179259077927355,,,
188.0,35.178554939529384,35.292865103042985,,,
189.0,35.29216782838431,35.41285090286208,,,
190.0,35.41216087783974,35.539182380379266,,,
191.0,35.53849998630129,35.67182363530404,,,
192.0,35.67114924864739,35.81073697426277,,,
193.0,35.81007096643333,35.9558829215102,,,
194.0,35.95522565860508,36.10722023014753,,,
195.0,36.10657207271963,36.26470589384371,,,
196.0,36.2640671966688,36.428295159056816,,,
197.0,36.42766627090312,36.59794153775187,,,
198.0,36.59732280115234,36.77359682061165,,,
199.0,36.77298857163893,36.955211090736526,,,
200.0,36.95461365878083,37.14273273782966,,,
201.0,37.14214644537958,37.33610847286334,,,
202.0,37.33553363528968,37.53528334322243,,,
203.0,37.534720268565216,37.740200748320554,,,
204.0,37.73964973707929,37.95080245568458,,,
205.0,37.95026380061178,38.16702861750284,,,
206.0,38.166502603401085,38.388817787632405,,,
207.0,38.38830469115486,38.6161069390606,,,
208.0,38.6156070285151,38.848831481815665,,,
209.0,38.84834501697263,39.0869252813217,,,
210.0,39.08645251322569,39.330320677192404,,,
211.0,39.32986184797767,39.57894850245857,,,
212.0,39.578503845168456,39.83273810322356,,,
213.0,39.832307841634076,40.09161735874146,,,
214.0,40.09120170718883,40.355512701911955,,,
215.0,40.355111865124485,40.62434914018636,,,
216.0,40.62396331312051,40.89805027687857,,,
217.0,40.89767964455946,41.176538332875204,,,
218.0,41.176183070241436,41.45973416873841,,,
219.0,41.45939444049156,41.74755730719543,,,
220.0,41.74723326765396,42.039925956008204,,,
221.0,42.03961774896611,42.33675703121675,,,
222.0,42.336464789806875,42.637966180749515,,,
223.0,42.637690027311706,42.94346780839421,,,
224.0,42.94320785434827,43.25317509812214,,,
225.0,43.252931443845675,43.5670000387591,,,
226.0,43.566772773470404,43.8848534489961,,,
