All days with start 2022-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
227.0,43.81943173239773,43.91968956454839,,,
228.0,44.146884508027505,44.241563645614434,,,
229.0,44.478347022995905,44.56729075467943,,,
230.0,44.81372105780617,44.89677962603035,,,
231.0,45.15290723389386,45.22993793994327,,,
232.0,45.49580504307471,45.5666723485505,,,
233.0,45.84231287732757,45.906888501995795,,,
234.0,46.19232805890285,46.25049107487037,,,
235.0,46.545746870748346,46.59738379292212,,,
236.0,46.90246458724267,46.947469460030774,,,
237.0,47.262375505227865,47.300649985441396,,,
238.0,47.62537297533137,47.656826411248446,,,
239.0,47.99134943356872,48.01589894012293,,,
240.0,48.36019643321688,48.377766963274624,,,
241.0,48.73180467694952,48.74232908864182,,,
242.0,49.10606404922402,49.109483169300226,,,
243.0,49.48286364891121,49.479126332083865,,,
244.0,49.862091822157694,49.851155006409,,,
245.0,50.24363619547136,50.2254649532937,,,
246.0,50.627383709019945,50.6019512945647,,,
247.0,51.01322065013328,50.98050854224306,,,
248.0,51.401032686998626,51.36103062810123,,,
249.0,51.79070490253983,51.74341093338221,,,
250.0,52.18212182846958,52.12754231867317,,,
251.0,52.57516747950529,52.51331715392483,,,
252.0,52.96972538773791,52.90062734860856,,,
253.0,53.365678637143986,53.28936438200226,,,
254.0,53.76290989823032,53.679419333596854,,,
255.0,54.16130146280135,54.07068291361485,,,
256.0,54.56073527883844,54.46304549363219,,,
257.0,54.961092985481464,54.8563971372953,,,
258.0,55.36225594810148,55.25062763112416,,,
259.0,55.76410529345489,55.64562651539303,,,
260.0,56.16652194490803,56.041283115080404,,,
261.0,56.56938665772219,56.43748657087884,,,
262.0,56.97258005438847,56.834125870257054,,,
263.0,57.375982660001796,57.23108987856437,,,
264.0,57.779474937663956,57.628267370169695,,,
265.0,58.18293732390505,58.02554705962593,,,
266.0,58.586250264112564,58.42281763285097,,,
267.0,58.989294247958135,58.81996777831713,,,
268.0,59.391949844810945,59.21688621823938,,,
